Переменная;Значения
хар_жд_род;степени износа|прямолинейности|геометрии профиля|класса годности|отсутствия дефектов
хар_жд_ед;твердость головки|прочность на изгиб|марка стали|размерная точность
доставка_творит_жен;доставкой|отправкой|отгрузкой
товар_цвет_мнч;алюминиевые трубы|медные листы|латунные круги|бронзовые втулки|титановые прутки|алюминиевые профили
товар_пров_мнч;бухты проволоки|мотки проволоки|катушки проволоки|прутки
товар_лист_им;горячекатаные листы|холоднокатаные листы|оцинкованные листы|рифленые листы|стальные полосы|листовой металл|листы в рулонах|просечно-вытяжные листы
товар_лист_вин;горячекатаные листы|холоднокатаные листы|оцинкованные листы|рифленые листы|стальные полосы|листовой металл|листы в рулонах|просечно-вытяжные листы
товар_лист_род;горячекатаных листов|холоднокатаных листов|оцинкованных листов|рифленых листов|стальных полос|листового металла|листов в рулонах|просечно-вытяжных листов
товар_лист_ед;лист горячекатаный|лист холоднокатаный|лист оцинкованный|лист рифленый|стальная полоса|рулон стали|лист ПВЛ
хар_лист_им;толщина металла|плоскостность листа|качество поверхности|слой оцинковки|раскрой листа|марка стали
хар_лист_вин;толщину металла|плоскостность листа|качество поверхности|слой оцинковки|раскрой листа|марку стали
хар_лист_род;толщины металла|плоскостности листа|качества поверхности|слоя оцинковки|раскроя листа|марки стали
хар_лист_ед;точность резки|гибкость|прочность на разрыв
товар_лист_мнч;листы горячекатаные|листы холоднокатаные|листы оцинкованные|листы рифленые|стальные полосы|рулоны стали|листы ПВЛ
товар_сущ_жен_вин;продукцию|партию
